Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 3.12% of 0.32 seconds

index % time    self  children    called     name
                             7980000             add(std::string&, Trie*, int, int, int) [1]
                0.26    0.02   40000/40000       _fu0___ZSt3cin [2]
[1]     87.5    0.26    0.02   40000+7980000 add(std::string&, Trie*, int, int, int) [1]
                0.02    0.00 8020000/8020000     cti(char) [4]
                0.00    0.00 7915105/7915106     init_trie(Trie*) [7]
                0.00    0.00   12385/12385       std::set<std::string, std::less<std::string>, std::allocator<std::string> >::insert(std::string const&) [22]
                0.00    0.00       2/3           std::set<std::string, std::less<std::string>, std::allocator<std::string> >::clear() [97]
                             7980000             add(std::string&, Trie*, int, int, int) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]     87.5    0.00    0.28                 _fu0___ZSt3cin [2]
                0.26    0.02   40000/40000       add(std::string&, Trie*, int, int, int) [1]
                0.00    0.00   80100/80176       std::vector<std::string, std::allocator<std::string> >::operator[](unsigned int) [9]
                0.00    0.00     100/100         std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&) [57]
                0.00    0.00       1/1           std::allocator<std::string>::allocator() [114]
                0.00    0.00       1/1           std::set<std::string, std::less<std::string>, std::allocator<std::string> >::end() const [110]
                0.00    0.00       1/1           std::set<std::string, std::less<std::string>, std::allocator<std::string> >::begin() const [111]
                0.00    0.00       1/1           std::vector<std::string, std::allocator<std::string> >::vector<std::_Rb_tree_const_iterator<std::string> >(std::_Rb_tree_const_iterator<std::string>, std::_Rb_tree_const_iterator<std::string>, std::allocator<std::string> const&) [126]
                0.00    0.00       1/205         std::allocator<std::string>::~allocator() [37]
                0.00    0.00       1/9           std::vector<std::string, std::allocator<std::string> >::end() [83]
                0.00    0.00       1/9           std::vector<std::string, std::allocator<std::string> >::begin() [84]
